,X,Y,TotalCrown,TotalCrownRhiz,Yield
0,3213.5,605.49,167.0,14.0,511.61
1,3245.4,591.79,154.0,21.0,515.9
2,3289.86,623.63,127.0,5.0,431.0
3,3308.03,687.17,105.0,3.0,535.43
4,3321.79,642.82,116.0,38.0,414.71
5,3339.96,706.36,166.0,41.0,416.88
6,3351.19,576.67,159.0,62.0,335.78
7,3353.7,640.23,98.0,45.0,377.12
8,3371.86,703.77,164.0,8.0,483.86
9,3368.0,799.12,130.0,38.0,558.66
10,3392.3,681.41,125.0,9.0,547.05
11,3403.78,713.18,115.0,18.0,564.91
12,3415.01,582.71,127.0,30.0,519.88
13,3417.53,646.27,116.0,5.0,648.47
14,3424.2,678.04,114.0,33.0,534.25
15,3414.69,773.4,122.0,30.0,453.89
16,3444.56,868.71,126.0,28.0,645.52
17,3446.91,572.12,170.0,14.0,588.93
18,3449.42,635.68,194.0,23.0,590.21
19,3456.1,667.45,90.0,12.0,597.98
20,3464.87,731.01,144.0,18.0,543.41
21,3463.72,794.57,120.0,29.0,425.59
22,3445.58,889.93,125.0,15.0,586.22
23,3496.79,744.08,132.0,13.0,533.51
24,3495.64,807.65,120.0,22.0,510.63
25,3508.38,871.2,110.0,17.0,332.09
26,3477.5,903.01,167.0,30.0,440.01
27,3502.61,966.54,172.0,50.0,527.36
28,3513.24,631.83,138.0,9.0,624.46
29,3519.91,663.61,128.0,15.0,526.23
30,3527.53,790.72,152.0,26.0,449.75
31,3530.34,917.84,143.0,27.0,428.3
32,3542.65,578.13,133.0,45.0,348.52
33,3551.83,673.46,95.0,37.0,481.99
34,3563.32,705.23,165.0,12.0,399.75
35,3560.6,737.01,105.0,16.0,434.4
36,3544.29,832.37,145.0,70.0,473.28
37,3566.42,959.47,133.0,21.0,506.25
38,3574.55,572.87,145.0,35.0,497.05
39,3583.74,668.2,132.0,17.0,408.07
40,3591.35,795.32,155.0,26.0,450.44
41,3594.16,922.44,102.0,25.0,462.55
42,3603.46,1049.55,141.0,16.0,499.7
43,3605.13,897.65,126.0,11.0,353.35
44,3626.37,992.97,178.0,16.0,548.47
45,3636.64,1024.74,109.0,27.0,422.74
46,3638.37,571.03,140.0,37.0,534.79
47,3647.55,666.36,140.0,23.0,504.33
48,3659.04,698.13,154.0,30.0,398.43
49,3656.32,729.91,80.0,30.0,538.19
50,3637.03,888.84,152.0,46.0,481.3
51,3650.16,1111.29,91.0,9.0,370.62
52,3688.24,737.54,149.0,36.0,551.87
53,3669.95,769.34,128.0,39.0,452.9
54,3687.09,801.11,124.0,27.0,437.25
55,3668.94,896.47,135.0,13.0,
56,3689.89,928.23,113.0,42.0,547.0
57,3694.05,960.01,104.0,20.0,423.82
58,3690.19,991.79,142.0,27.0,601.13
59,3700.45,1023.56,154.0,29.0,547.98
60,3682.08,1118.92,142.0,27.0,483.91
61,3743.27,656.04,153.0,9.0,429.58
62,3750.88,783.15,145.0,29.0,381.94
63,3735.73,814.95,133.0,20.0,446.9
64,3732.74,878.51,139.0,46.0,342.52
65,3764.24,1005.6,160.0,37.0,586.91
66,3762.98,1037.39,133.0,17.0,382.19
67,3754.01,1069.18,156.0,31.0,403.35
68,3785.61,925.68,121.0,18.0,557.04
69,3796.17,1021.02,127.0,19.0,488.09
70,3794.9,1052.8,141.0,40.0,448.28
71,3800.43,639.86,184.0,11.0,635.14
72,3815.87,735.19,135.0,22.0,413.09
73,3817.52,925.87,145.0,12.0,535.68
74,3839.0,655.6,147.0,2.0,483.12
75,3831.45,814.51,126.0,1.0,295.96
76,3849.41,909.84,153.0,5.0,370.32
77,3849.71,973.4,116.0,5.0,528.0
78,3859.97,1005.17,154.0,16.0,448.23
79,3861.42,780.15,138.0,14.0,466.98
80,3891.28,875.46,125.0,13.0,607.73
81,3881.35,939.03,121.0,19.0,584.69
82,3891.9,1034.36,143.0,17.0,471.6
83,3896.17,649.77,152.0,8.0,585.19
84,3911.61,745.09,187.0,44.0,388.48
85,3947.43,613.93,151.0,21.0,580.91
86,3934.75,677.51,144.0,9.0,559.79
87,3925.23,772.86,108.0,37.0,418.7
88,3942.36,804.62,123.0,25.0,485.38
89,3927.2,836.42,116.0,24.0,499.9
90,3959.1,827.61,151.0,3.0,563.73
91,3981.21,954.71,160.0,42.0,496.01
92,4010.04,701.77,165.0,50.0,530.86
93,4072.77,917.73,165.0,18.0,371.46
94,4105.78,713.45,141.0,35.0,312.5
95,4103.06,745.24,123.0,30.0,325.69
96,4116.66,751.89,143.0,5.0,415.4
97,4133.79,783.65,197.0,42.0,482.78
98,4146.52,847.2,159.0,22.0,396.7
99,4150.55,829.2,166.0,13.0,285.14
