,Eastings..meter.,Northings..meter.,Exact.weed.counts,Image.estimates
0,110,147,55,30
1,125,179,31,37
2,135,215,78,58
3,154,260,116,88
4,172,297,69,49
5,200,338,130,107
6,226,381,147,88
7,254,434,45,40
8,275,483,26,38
9,215,498,18,20
10,199,458,88,55
11,178,414,300,154
12,156,369,80,71
13,134,325,101,68
14,111,283,73,57
15,85,239,97,66
16,65,211,111,87
17,43,257,172,120
18,67,291,69,47
19,84,335,56,69
20,105,380,93,92
21,126,425,60,65
22,149,472,56,59
23,169,518,18,14
24,101,492,143,108
25,69,444,75,76
26,52,401,27,33
27,25,364,55,55
28,0,332,63,85
29,141,124,53,43
30,165,159,45,33
31,186,202,121,103
32,214,246,74,42
33,237,288,174,112
34,253,336,154,106
35,276,379,7,7
36,296,424,26,23
37,309,469,14,38
38,360,461,19,25
39,336,413,11,23
40,302,323,6,17
41,285,278,22,37
42,260,229,32,29
43,226,189,38,49
44,201,146,115,73
45,186,89,120,79
46,232,76,37,21
47,251,121,79,55
48,274,168,134,90
49,302,218,8,13
50,326,257,14,28
51,356,303,4,12
52,369,346,5,18
53,387,399,5,23
54,406,444,14,21
55,450,428,55,25
56,439,378,90,58
57,421,317,108,80
58,399,288,111,72
59,372,241,37,31
60,323,156,12,26
61,296,105,227,148
62,272,59,110,73
63,330,43,16,13
64,353,100,23,30
65,370,142,32,57
66,394,189,46,39
67,423,233,54,48
68,442,274,90,64
69,466,312,104,61
70,484,366,166,122
71,498,412,81,69
72,551,388,160,117
73,534,342,79,69
74,505,300,96,69
75,485,259,110,90
76,469,212,72,60
77,442,174,13,26
78,408,129,72,86
79,391,80,129,91
80,375,29,170,132
81,421,15,180,139
82,450,60,170,156
83,472,111,48,59
84,493,155,32,41
85,520,196,120,95
86,541,240,53,82
87,565,282,106,90
88,205,371,197,185
89,222,368,200,216
90,235,365,216,222
91,241,377,132,83
92,246,406,80,134
93,252,422,60,70
94,265,435,13,35
95,259,454,10,14
96,240,442,17,18
97,230,394,108,84
98,213,398,135,98
99,211,385,212,165
