"","X1","X2","data","units.m"
"1",-6050,-3270,75,300
"2",-6050,-3165,371,300
"3",-5925,-3320,1931,300
"4",-5925,-3165,4357,300
"5",-5800,-3350,2114,300
"6",-5800,-3165,2318,300
"7",-5625,-3350,1975,300
"8",-5700,-3260,1912,300
"9",-5700,-3220,1902,300
"10",-5700,-3180,1882,300
"11",-5700,-3140,3017,300
"12",-5700,-3100,6570,600
"13",-5660,-3260,2616,300
"14",-5660,-3220,2275,300
"15",-5660,-3180,2432,300
"16",-5660,-3140,2754,300
"17",-5660,-3100,3452,300
"18",-5620,-3260,1726,400
"19",-5620,-3220,2118,300
"20",-5620,-3180,2269,300
"21",-5620,-3140,4629,400
"22",-5620,-3100,1840,300
"23",-5580,-3260,2691,360
"24",-5580,-3220,4084,300
"25",-5580,-3180,2187,400
"26",-5580,-3140,4531,300
"27",-5580,-3100,2022,300
"28",-5540,-3260,1822,300
"29",-5540,-3220,2800,300
"30",-5540,-3180,2722,300
"31",-5540,-3140,4083,300
"32",-5540,-3100,1650,400
"33",-5450,-3350,2890,300
"34",-5450,-3165,2776,300
"35",-5330,-3430,2525,300
"36",-5330,-3390,3580,300
"37",-5330,-3350,2960,300
"38",-5330,-3310,3100,300
"39",-5330,-3270,3611,300
"40",-5290,-3430,1813,200
"41",-5290,-3390,2560,300
"42",-5290,-3350,3733,300
"43",-5290,-3310,2273,300
"44",-5290,-3270,3437,300
"45",-5250,-3430,2603,300
"46",-5250,-3390,2148,200
"47",-5250,-3350,5636,600
"48",-5250,-3310,3050,300
"49",-5250,-3270,3287,300
"50",-5210,-3430,2603,300
"51",-5210,-3390,4044,300
"52",-5210,-3350,2560,300
"53",-5210,-3310,3019,300
"54",-5210,-3270,2407,300
"55",-5170,-3430,2735,200
"56",-5170,-3390,3020,300
"57",-5170,-3350,2215,300
"58",-5170,-3310,3414,300
"59",-5170,-3270,1688,300
"60",-5050,-3300,3447,300
"61",-5050,-3165,1091,300
"62",-4900,-3200,3279,300
"63",-4900,-3100,3101,300
"64",-4700,-3025,2370,300
"65",-4500,-3000,2902,300
"66",-4500,-2920,1401,300
"67",-4300,-2860,892,300
"68",-4100,-2710,1872,300
"69",-3900,-2660,2610,300
"70",-3700,-2560,3548,300
"71",-3500,-2510,2652,300
"72",-3300,-2460,2625,300
"73",-3100,-2440,2314,300
"74",-2900,-2410,2148,300
"75",-2700,-2360,2574,300
"76",-2500,-2310,2838,300
"77",-2300,-2260,2888,300
"78",-2100,-2210,1983,300
"79",-1900,-2160,1945,300
"80",-1700,-2110,1255,300
"81",-1500,-2080,3296,300
"82",-1300,-2100,1552,300
"83",-1200,-2000,2542,300
"84",-1000,-2120,1705,300
"85",-1000,-2000,2249,300
"86",-800,-2150,690,300
"87",-800,-2000,1767,300
"88",-800,-1800,1577,300
"89",-680,-1880,2581,300
"90",-680,-1840,3083,300
"91",-680,-1800,4780,600
"92",-680,-1760,7021,600
"93",-680,-1720,4025,600
"94",-640,-1880,2310,300
"95",-640,-1840,2605,300
"96",-640,-1800,3925,600
"97",-640,-1760,4557,600
"98",-640,-1720,3423,600
"99",-600,-2200,929,300
"100",-600,-2000,2811,300
"101",-600,-1880,1464,300
"102",-600,-1840,2467,300
"103",-600,-1800,5815,900
"104",-600,-1760,3540,600
"105",-600,-1720,6463,600
"106",-560,-1880,1688,300
"107",-560,-1840,1864,300
"108",-560,-1800,3805,600
"109",-560,-1760,3230,600
"110",-560,-1720,2875,600
"111",-530,-1600,678,300
"112",-520,-1880,2381,300
"113",-520,-1840,2075,300
"114",-520,-1800,3512,600
"115",-520,-1760,3668,600
"116",-520,-1720,3424,600
"117",-480,-1480,2865,400
"118",-480,-1440,2363,400
"119",-480,-1400,3962,600
"120",-440,-1480,2639,400
"121",-440,-1440,2959,400
"122",-440,-1400,3500,600
"123",-440,-1360,2902,600
"124",-440,-1320,1314,600
"125",-400,-2200,1196,300
"126",-400,-2000,2005,300
"127",-400,-1800,2410,300
"128",-400,-1600,2809,300
"129",-400,-1480,3461,400
"130",-400,-1440,4318,400
"131",-400,-1400,3824,900
"132",-400,-1360,4071,600
"133",-400,-1320,4376,600
"134",-360,-1480,2827,400
"135",-360,-1440,1677,400
"136",-360,-1400,3701,600
"137",-360,-1360,3021,600
"138",-360,-1320,4156,600
"139",-320,-1480,3153,400
"140",-320,-1440,3281,400
"141",-320,-1400,2935,600
"142",-320,-1360,3026,600
"143",-320,-1320,3612,600
"144",-250,-2000,948,300
"145",-220,-1800,1314,300
"146",-220,-1600,788,300
"147",-200,-1400,1323,300
"148",-200,-1200,1948,300
"149",-200,-1000,2446,300
"150",-200,-800,2481,300
"151",-200,-600,21386,1800
"152",-200,-400,17168,1800
"153",-200,-200,5905,1240
"154",-200,0,12278,1800
"155",-70,-800,1248,300
"156",-50,-600,1074,200
"157",-50,-400,1205,200
